Date,Subject,Syllabus Topic,Question,User Answer,Correct?
2025-01-18 08:20:35,Mathematics,Mathematics - Number and Algebra - Number Patterns,"What number comes next in this pattern: 5, 10, 15, 20, ___?",25,True
2025-01-18 08:20:50,Mathematics,Mathematics - Number and Algebra - Roman Numerals,What number does the Roman numeral 'M' represent?,1000,True
2025-01-18 08:20:57,Science,Science - Earth and Space Sciences - Planets,Which planet is known as the 'Red Planet'?,Mars,True
2025-01-18 08:22:29,Mathematics,Mathematics - Number and Algebra - Multiplication Facts,"If you have 4 groups of 6 apples, how many apples do you have in total?",30,False
2025-01-18 08:22:50,Mathematics,Mathematics - Number and Algebra - Division,What is the result of 72 divided by 8?,11,False
2025-01-18 08:22:56,English,English - Vocabulary - Synonyms,Which of these is a synonym for 'happy'?,Joyful,True
2025-01-18 08:23:26,Mathematics,Mathematics - Measurement and Geometry - Angles,Which of the following is a right angle?,90 degrees,True
2025-01-18 08:23:39,Mathematics,Mathematics - Number and Algebra - Subtraction,Which is an example of a subtraction problem?,10 - 5 = 5,True
2025-01-18 08:23:52,Mathematics,Mathematics - Number and Algebra - Rounding Numbers,What is 349 rounded to the nearest hundred?,300,True
2025-01-18 08:24:02,Mathematics,Mathematics - Number and Algebra - Division,What is 63 ÷ 9?,8,False
2025-01-18 08:24:10,Mathematics,Mathematics - Measurement and Geometry - Perimeter,What is the perimeter of a rectangle with a length of 6 cm and a width of 4 cm?,24 cm,False
